elbow_angle,rep_speed,symmetry,form_quality,timestamp
45.19,2.02,7.18,correct,2026-06-22T15:02:55.648Z
46.5,1.97,8.71,correct,2026-06-22T15:02:57.614Z
46.65,1.67,2,correct,2026-06-22T15:02:59.283Z
39.61,1.84,1.35,correct,2026-06-22T15:03:01.121Z
34.54,1.73,1.16,correct,2026-06-22T15:03:02.849Z
31.03,1.61,2.88,correct,2026-06-22T15:03:04.460Z
33.25,1.64,1.09,correct,2026-06-22T15:03:06.099Z
31.2,1.66,4.09,correct,2026-06-22T15:03:07.761Z
34.3,1.59,7.98,correct,2026-06-22T15:03:09.350Z
32.07,1.65,13.1,correct,2026-06-22T15:03:11.002Z
33.99,1.63,4.56,correct,2026-06-22T15:03:12.636Z
34.76,1.62,8.07,correct,2026-06-22T15:03:14.251Z
32.19,1.67,10.72,correct,2026-06-22T15:03:15.926Z
35.72,1.54,5.1,correct,2026-06-22T15:03:17.463Z
39.92,1.6,4.86,correct,2026-06-22T15:03:19.065Z
35.61,1.64,5.57,correct,2026-06-22T15:03:20.710Z
32.28,1.65,3.69,correct,2026-06-22T15:03:22.356Z
31.67,1.59,7.05,correct,2026-06-22T15:03:23.942Z
31.3,1.53,9.05,correct,2026-06-22T15:03:25.477Z
37.96,1.61,17.15,correct,2026-06-22T15:03:27.085Z
33.5,1.91,15.46,correct,2026-06-22T15:03:28.995Z
31.81,1.57,12.26,correct,2026-06-22T15:03:30.567Z
38.48,1.57,7.39,correct,2026-06-22T15:03:32.133Z
38.12,1.6,12.14,correct,2026-06-22T15:03:33.731Z
40.34,1.56,9.99,correct,2026-06-22T15:03:35.296Z
35.3,1.56,11.28,correct,2026-06-22T15:03:36.853Z
37.36,1.56,5.2,correct,2026-06-22T15:03:38.418Z
38.85,1.77,13.74,correct,2026-06-22T15:03:40.191Z
34.3,1.62,7.96,correct,2026-06-22T15:03:41.815Z
36.01,1.69,4.46,correct,2026-06-22T15:03:43.503Z
38.45,1.7,6.05,correct,2026-06-22T15:03:45.205Z
37.07,1.7,2.97,correct,2026-06-22T15:03:46.908Z
35.59,1.63,8.69,correct,2026-06-22T15:03:48.541Z
40.9,2.19,6.97,correct,2026-06-22T15:03:50.729Z
38.11,3.79,13.18,correct,2026-06-22T15:03:54.515Z
44.73,4.27,9.41,correct,2026-06-22T15:03:58.782Z
37.15,3.97,16.49,correct,2026-06-22T15:04:02.755Z
34.61,3.95,12.77,correct,2026-06-22T15:04:06.709Z
34.71,5.01,14.67,correct,2026-06-22T15:04:11.714Z
37.67,4.1,16.22,correct,2026-06-22T15:04:15.812Z
9.75,5,59.15,incorrect,2026-06-22T16:40:05.315Z
35.88,2.34,116.71,incorrect,2026-06-22T16:40:07.653Z
49.36,7.88,10.45,incorrect,2026-06-22T16:40:15.689Z
35.16,1.77,2.83,incorrect,2026-06-22T16:40:17.459Z
58.43,4.44,21.41,incorrect,2026-06-22T16:40:21.903Z
54.14,4.01,14.27,incorrect,2026-06-22T16:40:25.917Z
51.27,8.44,31.35,incorrect,2026-06-22T16:40:34.352Z
59.02,1.33,35.57,incorrect,2026-06-22T16:40:35.681Z
48.38,1.36,30.81,incorrect,2026-06-22T16:40:37.038Z
41.99,1.78,7.6,incorrect,2026-06-22T16:40:38.817Z
38.49,1.52,0.98,incorrect,2026-06-22T16:40:40.340Z
43.21,1.52,11.8,incorrect,2026-06-22T16:40:41.859Z
38.69,1.58,3.83,incorrect,2026-06-22T16:40:43.437Z
12.78,1.73,4.47,incorrect,2026-06-22T16:40:45.166Z
1.42,1.85,50.88,incorrect,2026-06-22T16:40:47.013Z
6.63,4.01,17.75,incorrect,2026-06-22T16:40:51.018Z
55.95,7.22,7.83,incorrect,2026-06-22T16:40:59.160Z
42.56,1.59,20.15,incorrect,2026-06-22T16:41:00.754Z
51.99,17.05,4.45,incorrect,2026-06-22T16:41:17.805Z
45.51,7.15,18.39,incorrect,2026-06-22T16:41:24.953Z
40.49,6.6,15.94,incorrect,2026-06-22T16:41:31.555Z
41.96,11.59,0.97,incorrect,2026-06-22T16:41:43.150Z
54.35,7.66,23.01,incorrect,2026-06-22T16:41:50.807Z
48.47,2.11,41.34,incorrect,2026-06-22T16:41:52.920Z
54.33,7.67,18.91,incorrect,2026-06-22T16:42:00.586Z
52.17,8.78,12.81,incorrect,2026-06-22T16:42:09.368Z
57.46,1.49,2.58,incorrect,2026-06-22T16:42:10.853Z
48.91,1.5,21.77,incorrect,2026-06-22T16:42:12.355Z
56.91,1.48,19.63,incorrect,2026-06-22T16:42:13.830Z
58.07,2.79,18.93,incorrect,2026-06-22T16:42:16.621Z
54.69,4.2,18.44,incorrect,2026-06-22T16:42:20.816Z
56.27,1.42,35.83,incorrect,2026-06-22T16:42:22.234Z
50.85,2.71,22.73,incorrect,2026-06-22T16:42:24.941Z
56.38,1.36,14.25,incorrect,2026-06-22T16:42:26.301Z
56.79,2.8,24.27,incorrect,2026-06-22T16:42:29.096Z
53.67,1.52,23.17,incorrect,2026-06-22T16:42:30.620Z
55.23,4.07,11.1,incorrect,2026-06-22T16:42:34.695Z
59.5,1.45,3.36,incorrect,2026-06-22T16:42:36.143Z
55.58,2.72,8.31,incorrect,2026-06-22T16:42:38.866Z
11.65,10.88,39.5,incorrect,2026-06-22T16:42:49.750Z
3.96,0.49,15.56,incorrect,2026-06-22T16:42:50.236Z
